* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 12 2017 08:02:28

* File Generated:     Apr 6 2020 18:45:50

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CM225

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, WIN_CHOOSE[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D6, PIO, K_CHOOSE[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
D7, PIO, not used, , , , , , topBank
D8, PIO_GBIN, not used, , , , , , topBank
D9, PIO, not used, , , , , , topBank
D10, PIO, not used, , , , , , topBank
D11, PIO, not used, , , , , , topBank
D12, VPP_DIRECT, not used, , , , , , UnknownBank
D13, PIO, not used, , , , , , rightBank
D14, PIO, not used, , , , , , rightBank
D15, PIO, not used, , , , , , rightBank
E1, VCCIO_3, not used, , , , , , leftBank
E2, PIO, not used, , , , , , leftBank
E3, PIO, not used, , , , , , leftBank
E4, PIO, not used, , , , , , leftBank
E5, PIO, not used, , , , , , leftBank
E6, PIO, not used, , , , , , leftBank
E7, AGND_TOP, not used, , , , , , UnknownBank
E8, AVDD_TOP, not used, , , , , , UnknownBank
E9, PIO, K_CHOOSE[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
E10, PIO, not used, , , , , , topBank
E11, PIO, not used, , , , , , topBank
E12, VPP_PUMP, not used, , , , , , UnknownBank
E13, PIO, not used, , , , , , rightBank
E14, PIO, not used, , , , , , rightBank
E15, GND, not used, , , , , , UnknownBank
F1, PIO, K_CHOOSE[5], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
F2, PIO, not used, , , , , , leftBank
F3, PIO, not used, , , , , , leftBank
F4, PIO, not used, , , , , , leftBank
F5, PIO, not used, , , , , , leftBank
F6, VCC, not used, , , , , , UnknownBank
F7, PIO, TRIGGER, Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
F8, VCCIO_0, not used, , , , , , topBank
F9, PIO, not used, , , , , , topBank
F10, VCC, not used, , , , , , UnknownBank
F11, PIO, not used, , , , , , rightBank
F12, PIO, not used, , , , , , rightBank
F13, PIO, CLEAR, Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
F14, PIO, not used, , , , , , rightBank
F15, PIO, not used, , , , , , rightBank
G1, PIO, not used, , , , , , leftBank
G2, PIO, not used, , , , , , leftBank
G3, PIO, not used, , , , , , leftBank
G4, PIO_GBIN, CLK, Input, glb Buff, SB_LVCMOS, No Pull Up, Simple Input, leftBank
G5, PIO, not used, , , , , , leftBank
G6, VCCIO_3, not used, , , , , , leftBank
G7, GND, not used, , , , , , UnknownBank
G8, GND, not used, , , , , , UnknownBank
G9, GND, not used, , , , , , UnknownBank
G10, PIO, not used, , , , , , rightBank
G11, PIO, not used, , , , , , rightBank
G12, PIO, not used, , , , , , rightBank
G13, PIO_GBIN, not used, , , , , , rightBank
G14, PIO, not used, , , , , , rightBank
G15, PIO, not used, , , , , , rightBank
H1, PIO, K_CHOOSE[6], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
H2, PIO, not used, , , , , , leftBank
H3, PIO, not used, , , , , , leftBank
H4, PIO, not used, , , , , , leftBank
H5, PIO_GBIN, not used, , , , , , leftBank
H6, PIO, not used, , , , , , leftBank
H7, GND, not used, , , , , , UnknownBank
H8, GND, not used, , , , , , UnknownBank
H9, GND, not used, , , , , , UnknownBank
H10, VCCIO_1, not used, , , , , , rightBank
H11, PIO, not used, , , , , , rightBank
H12, PIO_GBIN, not used, , , , , , rightBank
H13, PIO, not used, , , , , , rightBank
H14, PIO, not used, , , , , , rightBank
H15, VCC, not used, , , , , , UnknownBank
J1, PIO, not used, , , , , , leftBank
J2, PIO, not used, , , , , , leftBank
J3, PIO, not used, , , , , , leftBank
J4, PIO, not used, , , , , , leftBank
J5, PIO, not used, , , , , , leftBank
J6, VCCIO_3, not used, , , , , , leftBank
J7, GND, not used, , , , , , UnknownBank
J8, GND, not used, , , , , , UnknownBank
J9, GND, not used, , , , , , UnknownBank
J10, PIO, not used, , , , , , rightBank
J11, PIO, not used, , , , , , rightBank
J12, PIO, not used, , , , , , rightBank
J13, PIO, not used, , , , , , rightBank
J14, PIO, not used, , , , , , rightBank
J15, PIO, not used, , , , , , rightBank
K1, PIO, WIN_CHOOSE[3], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
K2, GND, not used, , , , , , UnknownBank
K3, PIO, not used, , , , , , leftBank
K4, PIO, not used, , , , , , leftBank
K5, PIO, not used, , , , , , leftBank
K6, VCC, not used, , , , , , UnknownBank
K7, GND, not used, , , , , , UnknownBank
K8, VCCIO_2, not used, , , , , , bottomBank
K9, PIO, not used, , , , , , bottomBank
K10, VCC, not used, , , , , , UnknownBank
K11, PIO, not used, , , , , , bottomBank
K12, PIO, not used, , , , , , rightBank
K13, PIO, not used, , , , , , rightBank
K14, PIO, not used, , , , , , rightBank
K15, PIO, not used, , , , , , rightBank
L1, PIO, not used, , , , , , leftBank
L2, VCC, not used, , , , , , UnknownBank
L3, PIO, not used, , , , , , leftBank
L4, PIO, WIN_CHOOSE[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
L5, PIO, not used, , , , , , bottomBank
L6, PIO, not used, , , , , , bottomBank
L7, PIO, not used, , , , , , bottomBank
L8, AVDD_BOT, not used, , , , , , UnknownBank
L9, PIO_GBIN, not used, , , , , , bottomBank
L10, PIO, not used, , , , , , bottomBank
L11, SPI_SI, not used, , , , , , bottomBank
L12, PIO, not used, , , , , , rightBank
L13, PIO, not used, , , , , , rightBank
L14, PIO, not used, , , , , , rightBank
L15, GND, not used, , , , , , UnknownBank
M1, PIO, WIN_CHOOSE[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
M2, PIO, not used, , , , , , leftBank
M3, PIO, not used, , , , , , leftBank
M4, PIO, not used, , , , , , leftBank
M5, PIO, not used, , , , , , bottomBank
M6, PIO, not used, , , , , , bottomBank
M7, PIO, not used, , , , , , bottomBank
M8, PIO, not used, , , , , , bottomBank
M9, PIO, not used, , , , , , bottomBank
M10, CDONE, not used, , , , , , bottomBank
M11, SPI_SO, not used, , , , , , bottomBank
M12, SPI_SS_B, not used, , , , , , bottomBank
M13, PIO, not used, , , , , , rightBank
M14, PIO, not used, , , , , , rightBank
M15, PIO, not used, , , , , , rightBank
N1, VCCIO_3, not used, , , , , , leftBank
N2, PIO, not used, , , , , , leftBank
N3, PIO, not used, , , , , , bottomBank
N4, PIO, not used, , , , , , bottomBank
N5, PIO, not used, , , , , , bottomBank
N6, PIO, not used, , , , , , bottomBank
N7, PIO_GBIN, not used, , , , , , bottomBank
N8, AGND_BOT, not used, , , , , , UnknownBank
N9, PIO, not used, , , , , , bottomBank
N10, PIO, not used, , , , , , bottomBank
N11, CRESET_B, not used, , , , , , bottomBank
N12, SPI_SCK, not used, , , , , , bottomBank
N13, VDDIO_SPI, not used, , , , , , bottomBank
N14, TRST_B, not used, , , , , , rightBank
N15, VCCIO_1, not used, , , , , , rightBank
P1, PIO, not used, , , , , , leftBank
P2, PIO, not used, , , , , , bottomBank
P3, VCCIO_2, not used, , , , , , bottomBank
P4, PIO, not used, , , , , , bottomBank
P5, PIO, not used, , , , , , bottomBank
P6, PIO, not used, , , , , , bottomBank
P7, PIO, not used, , , , , , bottomBank
P8, PIO, not used, , , , , , bottomBank
P9, PIO, not used, , , , , , bottomBank
P10, PIO, not used, , , , , , bottomBank
P11, PIO, not used, , , , , , bottomBank
P12, PIO, not used, , , , , , bottomBank
P13, PIO, not used, , , , , , bottomBank
P14, PIO, not used, , , , , , rightBank
P15, PIO, not used, , , , , , rightBank
R1, PIO, not used, , , , , , bottomBank
R2, PIO, not used, , , , , , bottomBank
R3, PIO, not used, , , , , , bottomBank
R4, PIO, not used, , , , , , bottomBank
R5, PIO, not used, , , , , , bottomBank
R6, PIO, not used, , , , , , bottomBank
R7, GND, not used, , , , , , UnknownBank
R8, VCC, not used, , , , , , UnknownBank
R9, PIO, not used, , , , , , bottomBank
R10, PIO, not used, , , , , , bottomBank
R11, PIO, not used, , , , , , bottomBank
R12, PIO, not used, , , , , , bottomBank
R13, VCCIO_2, not used, , , , , , bottomBank
R14, PIO, not used, , , , , , rightBank
R15, PIO, not used, , , , , , rightBank
Total Number of Used Pins, 18
